,workingday,weather,temperature,humidity,windspeed,season_Fall,season_Spring,season_Summer,season_Winter,count
10148,0,1,0.44,0.21,0.1343,False,False,False,True,134
14578,1,1,0.8,0.59,0.4627,False,False,True,False,292
3537,1,2,0.7,0.79,0.1642,False,True,False,False,284
3941,0,1,0.6,0.88,0.0896,False,True,False,False,20
15165,0,2,0.54,0.56,0.2239,True,False,False,False,92
4277,0,1,0.64,0.53,0.0,False,False,True,False,26
7494,0,1,0.48,0.36,0.2537,True,False,False,False,95
11889,1,2,0.64,0.73,0.20259243119266054,False,True,False,False,184
4319,0,2,0.66,0.6385647058823529,0.1642,False,False,True,False,167
11032,1,1,0.5,0.36,0.4478,False,True,False,False,276
14995,0,1,0.6,0.73,0.2836,False,False,True,False,172
8588,1,2,0.3,0.52,0.0896,False,False,False,True,177
5389,1,1,0.78,0.43,0.1045,False,False,True,False,128
5103,1,1,0.78,0.52,0.16999230769230772,False,False,True,False,204
16997,0,2,0.36,0.62,0.0,True,False,False,False,110
8554,1,1,0.32,0.57,0.3582,False,False,False,True,9
3000,1,1,0.52,0.68,0.20259243119266054,False,True,False,False,116
5145,0,1,0.7,0.84,0.194,False,False,True,False,39
1665,1,1,0.32,0.53,0.0,False,False,False,True,19
14382,1,1,0.74,0.66,0.194,False,False,True,False,229
15352,0,1,0.46,0.59,0.1343,True,False,False,False,215
6885,1,3,0.52,0.94,0.3284,True,False,False,False,130
16453,1,1,0.24,0.81,0.0,True,False,False,False,77
3623,0,2,0.66,0.47,0.1045,False,True,False,False,185
15878,0,3,0.42,0.94,0.3582,True,False,False,False,54
915,1,1,0.28793893129771,0.27,0.2985,False,False,False,True,80
16435,0,1,0.46,0.6582070707070706,0.0,True,False,False,False,269
11444,1,1,0.5,0.59,0.4478,False,True,False,False,35
16945,1,1,0.3,0.45,0.0,True,False,False,False,241
10045,1,1,0.4,0.28,0.1045,False,False,False,True,134
11560,1,1,0.64,0.65,0.1343,False,True,False,False,282
16864,1,3,0.46,0.94,0.2239,True,False,False,False,134
12391,1,2,0.54,0.56,0.2239,False,True,False,False,247
2281,0,2,0.36,0.93,0.1343,False,True,False,False,87
9989,0,1,0.22,0.44,0.3284,False,False,False,True,2
6866,1,1,0.62,0.57,0.2537,True,False,False,False,304
3916,1,1,0.56,0.94,0.1045,False,True,False,False,13
14178,0,1,0.64,0.65,0.0896,False,False,True,False,235
6834,1,2,0.5,0.51,0.2537,True,False,False,False,414
6246,1,2,0.62,0.94,0.1343,False,False,True,False,285
8815,0,1,0.34,0.42,0.1343,False,False,False,True,32
10192,1,3,0.28,0.5804627249357327,0.6567,False,False,False,True,375
7927,1,1,0.26,0.7,0.0896,True,False,False,False,73
11339,0,3,0.38,0.87,0.4478,False,True,False,False,36
7284,0,1,0.3,0.52,0.2985,True,False,False,False,8
10111,1,1,0.3,0.81,0.0,False,False,False,True,314
8592,1,1,0.3,0.56,0.1045,False,False,False,True,135
2771,0,1,0.533015873015873,0.51,0.3582,False,True,False,False,156
6937,1,1,0.5,0.45,0.2537,True,False,False,False,302
2874,1,1,0.5,0.45,0.4627,False,True,False,False,195
7377,1,1,0.4294206549118388,0.87,0.0,True,False,False,False,13
3251,1,1,0.54,0.68,0.20259243119266054,False,True,False,False,234
8706,1,1,0.16,0.43,0.5224,False,False,False,True,79
3673,1,1,0.64,0.69,0.0896,False,True,False,False,60
13312,1,1,0.72,0.54,0.0,False,False,True,False,299
5086,1,2,0.7,0.74,0.194,False,False,True,False,286
6341,1,1,0.66,0.82,0.0896,True,False,False,False,383
4997,1,1,0.7,0.79,0.1642,False,False,True,False,4
469,1,1,0.28793893129771,0.25,0.5224,False,False,False,True,62
14284,1,2,0.6999518072289157,0.7,0.0,False,False,True,False,412
4543,1,1,0.74,0.58,0.194,False,False,True,False,26
4563,1,1,0.66,0.61,0.2537,False,False,True,False,25
16038,1,1,0.26,0.6,0.1343,True,False,False,False,53
4786,0,1,0.84,0.49,0.2537,False,False,True,False,109
14652,1,1,0.78,0.59,0.3284,False,False,True,False,772
